,Date,BF/Ref Gas,Biomass,Hydro,Non-Fossil,Solar,Uranium,Waste Biomass,Wind,Gasoil,LSFO,BIT - CAPP,BIT - ILB,BIT - NAPP,BIT - UB,Lignite,SUB - PRB,ANR LA,ANR OK,Algonquin Citygate,Algonquin Receipts,Carthage Hub,Chicago Citygate,Columbia Gulf; mainline,Consumers,Dominion-South,El Paso Permian,GTN Malin,Henry Hub,Iroquois Zone 2,Katy,NBPL Ventura,NGPL Midcon,NNG Demarc,NNG Ventura,Oneok OK,PG and E Citygate,Socal Citygate,Southern Star,TETCO M1 30-in,TETCO M3,TGP Z6 del,Transco Z5 del,Transco Z6 NY,Transco Z6 Non-NY,Waha
0,2021-01-01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.05,15.8,2.17,1.44,1.74,1.279999971,1.804999948,0.66,2.325,2.275,2.41,2.325,2.31,2.31,2.31,2.005,2.005,2.94,2.385,2.385,2.325,2.28,2.28,2.31,2.275,2.285,3.6,4.295,2.29,2.1,2.25,2.25,2.645,2.43,2.3,2.34,0.0
1,2021-01-02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.05,15.8,2.18,1.44,1.74,1.279999971,1.804999948,0.66,2.325,2.275,2.41,2.325,2.31,2.31,2.31,2.005,2.005,2.94,2.385,2.385,2.325,2.28,2.28,2.31,2.275,2.285,3.6,4.295,2.29,2.1,2.25,2.25,2.645,2.43,2.3,2.34,0.0
2,2021-01-03,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.05,15.8,2.18,1.44,1.75,1.279999971,1.804999948,0.66,2.325,2.275,2.41,2.325,2.31,2.31,2.31,2.005,2.005,2.94,2.385,2.385,2.325,2.28,2.28,2.31,2.275,2.285,3.6,4.295,2.29,2.1,2.25,2.25,2.645,2.43,2.3,2.34,0.0
3,2021-01-04,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.05,15.8,2.18,1.44,1.75,1.279999971,1.804999948,0.66,2.325,2.275,2.41,2.325,2.31,2.31,2.31,2.005,2.005,2.94,2.385,2.385,2.325,2.28,2.28,2.31,2.275,2.285,3.6,4.295,2.29,2.1,2.25,2.25,2.645,2.43,2.3,2.34,0.0
4,2021-01-05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.05,15.8,2.19,1.45,1.75,1.279999971,1.804999948,0.65,2.5,2.405,3.295,2.465,2.485,2.485,2.47,2.27,2.27,2.625,2.565,2.565,2.5,2.43,2.39,2.48,2.435,2.35,3.625,3.9,2.405,2.1,2.55,2.55,3.59,2.725,2.655,2.41,0.0
5,2021-01-06,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.05,15.8,2.19,1.45,1.76,1.279999971,1.804999948,0.65,2.64,2.54,3.26,2.55,2.585,2.585,2.585,2.33,2.33,2.605,2.715,2.715,2.62,2.54,2.51,2.545,2.545,2.475,3.575,3.89,2.525,2.635,2.645,2.645,3.505,2.905,2.715,2.455,0.0
6,2021-01-07,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.05,15.8,2.2,1.45,1.76,1.279999971,1.804999948,0.65,2.645,2.55,2.99,2.665,2.58,2.58,2.565,2.315,2.315,2.705,2.7,2.7,2.675,2.55,2.535,2.585,2.55,2.575,3.56,3.705,2.555,2.63,2.67,2.67,3.05,2.8,2.75,2.52,0.0
7,2021-01-08,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.05,15.8,2.2,1.45,1.76,1.279999971,1.804999948,0.65,2.665,2.585,3.32,2.68,2.64,2.64,2.615,2.395,2.395,2.775,2.73,2.73,2.73,2.635,2.595,2.67,2.635,2.62,3.565,3.57,2.6,2.675,2.71,2.71,3.42,3.045,2.765,2.62,0.0
8,2021-01-09,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.05,15.8,2.2,1.45,1.76,1.279999971,1.804999948,0.65,2.625,2.59,3.86,2.645,2.61,2.61,2.57,2.295,2.295,2.755,2.725,2.725,2.68,2.595,2.565,2.64,2.6,2.61,3.535,3.125,2.59,2.675,2.72,2.72,3.885,2.91,2.82,2.64,0.0
9,2021-01-10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.05,15.8,2.2,1.45,1.76,1.279999971,1.804999948,0.65,2.625,2.59,3.86,2.645,2.61,2.61,2.57,2.295,2.295,2.755,2.725,2.725,2.68,2.595,2.565,2.64,2.6,2.61,3.535,3.125,2.59,2.675,2.72,2.72,3.885,2.91,2.82,2.64,0.0
10,2021-01-11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.05,15.8,2.2,1.45,1.76,1.279999971,1.804999948,0.65,2.625,2.59,3.86,2.645,2.61,2.61,2.57,2.295,2.295,2.755,2.725,2.725,2.68,2.595,2.565,2.64,2.6,2.61,3.535,3.125,2.59,2.675,2.72,2.72,3.885,2.91,2.82,2.64,0.0
11,2021-01-12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.05,15.8,2.2,1.45,1.76,1.279999971,1.804999948,0.65,2.605,2.545,4.0,2.66,2.555,2.555,2.545,2.27,2.27,2.65,2.645,2.645,2.645,2.505,2.535,2.57,2.515,2.555,3.535,3.7,2.545,2.58,2.675,2.675,4.11,2.895,2.815,2.615,0.0
12,2021-01-13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.05,15.8,2.2,1.45,1.76,1.279999971,1.804999948,0.65,2.8,2.65,4.385,2.755,2.725,2.725,2.72,2.445,2.445,2.775,2.825,2.825,2.815,2.66,2.64,2.685,2.66,2.705,3.72,3.905,2.67,2.8,2.71,2.71,4.5,2.995,2.88,2.7,0.0
13,2021-01-14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.05,15.8,2.2,1.45,1.76,1.279999971,1.804999948,0.65,2.71,2.59,4.47,2.67,2.63,2.63,2.65,2.425,2.425,2.73,2.75,2.75,2.725,2.605,2.58,2.64,2.61,2.58,3.665,3.485,2.585,2.73,2.665,2.665,4.52,2.86,2.8,2.61,0.0
14,2021-01-15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.05,15.8,2.2,1.45,1.76,1.279999971,1.804999948,0.65,2.705,2.6,3.02,2.685,2.64,2.64,2.63,2.4,2.4,2.655,2.735,2.735,2.7,2.595,2.58,2.64,2.6,2.615,3.6,3.385,2.615,2.705,2.595,2.595,3.015,2.875,2.68,2.58,0.0
15,2021-01-16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.05,15.8,2.19,1.45,1.77,1.279999971,1.804999948,0.65,2.72,2.61,5.205,2.68,2.65,2.65,2.655,2.43,2.43,2.68,2.785,2.785,2.69,2.625,2.575,2.655,2.62,2.645,3.535,3.265,2.635,2.71,2.78,2.78,4.955,3.0,2.86,2.56,0.0
16,2021-01-17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.05,15.8,2.19,1.45,1.78,1.279999971,1.804999948,0.65,2.72,2.61,5.205,2.68,2.65,2.65,2.655,2.43,2.43,2.68,2.785,2.785,2.69,2.625,2.575,2.655,2.62,2.645,3.535,3.265,2.635,2.71,2.78,2.78,4.955,3.0,2.86,2.56,0.0
17,2021-01-18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.05,15.8,2.18,1.45,1.79,1.279999971,1.804999948,0.65,2.72,2.61,5.205,2.68,2.65,2.65,2.655,2.43,2.43,2.68,2.785,2.785,2.69,2.625,2.575,2.655,2.62,2.645,3.535,3.265,2.635,2.71,2.78,2.78,4.955,3.0,2.86,2.56,0.0
18,2021-01-19,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.05,15.8,2.17,1.45,1.8,1.279999971,1.804999948,0.64,2.72,2.61,5.205,2.68,2.65,2.65,2.655,2.43,2.43,2.68,2.785,2.785,2.69,2.625,2.575,2.655,2.62,2.645,3.535,3.265,2.635,2.71,2.78,2.78,4.955,3.0,2.86,2.56,0.0
