Date,DayOfWeek,Hour,MISO: Demand ISO Multiday Forecast(6947)-MW,PJM: ISO Original Forecasted Demand - PJM RTO(11019)-MW,GS-PIQ: NY Demand Forecast (Mod) Multi-Day (Details)(4252)-MW,PJM: Generation Forecast - Wind (Real Time)(49867)-MW,MISO: Next Day Wind Forecast(106728)-MW,ARGUS: NatGas - Average -  Transco Z6 Non-NY(4631)-$/MCF,WBI: Temp New York City NY (NYC)(5708)-Deg,PJM: Southern Forecasted Factored Weather Temp(6177)-F,PJM: Western Forecasted Factored Weather Temp(6024)-F,PJM: COMED Forecasted Factored Weather Temp(6804)-F,GS-PIQ: MISO Forecasted Factored Weather Temp(6882)-F,PJM: Tie-Flows MISO imports 5Min(7732)-MW,PJM: InterTieFlow-NYIS(6096)-MW
7/1/2021 0:00,Thursday,0,78040,99662,20573,877.04,1798,3.14,74,79,72,72,73,2760.83,-1073.92
7/1/2021 1:00,Thursday,1,73700,94329,19658,999.71,2134,3.14,74,78,72,72,72,2944.42,-1244.17
7/1/2021 2:00,Thursday,2,70440,90476,18797,895.8,1995,3.14,75,77,71,70,72,3500.17,-1509.33
7/1/2021 3:00,Thursday,3,68550,88203,18358,899.29,1797,3.14,74,76,71,69,71,3468.67,-1598.42
7/1/2021 4:00,Thursday,4,67590,87726,18310,781.99,1777,3.14,74,76,71,69,70,3517.25,-1655.17
7/1/2021 5:00,Thursday,5,67890,89810,18765,802.18,1863,3.14,74,75,70,68,69,3288.58,-1789.92
7/1/2021 6:00,Thursday,6,69680,93966,19817,769.4,2002,3.14,73,74,70,67,69,3108.33,-1609.5
7/1/2021 7:00,Thursday,7,71830,99508,21258,704.27,2077,3.14,74,75,70,67,68,3238,-1864.08
7/1/2021 8:00,Thursday,8,75740,104893,22288,849.19,1859,3.14,76,78,71,67,70,3326,-1241.75
7/1/2021 9:00,Thursday,9,79830,109862,23295,1359.76,1428,3.14,78,81,72,69,72,3304.5,-1108.08
7/1/2021 10:00,Thursday,10,83780,114462,24096,1462.3,1338,3.14,80,84,72,71,74,3639.83,-1158.42
7/1/2021 11:00,Thursday,11,87580,118909,24806,1197.15,1723,3.13,82,86,73,72,76,3529.33,-1153.25
7/1/2021 12:00,Thursday,12,90930,122353,25207,1578.18,2239,3.13,82,87,73,73,78,3859.75,-1243.75
7/1/2021 13:00,Thursday,13,93690,124872,25407,2103.88,2733,3.13,83,88,74,74,79,4468,-1176.92
7/1/2021 14:00,Thursday,14,95870,126010,25497,2343.28,3147,3.13,71,87,75,76,80,4918.83,-1150.58
7/1/2021 15:00,Thursday,15,96980,125610,25318,2925.62,3610,3.13,74,86,75,77,81,5008.08,-1221.92
7/1/2021 16:00,Thursday,16,97510,124544,24984,3240.99,4173,3.13,75,85,75,76,81,5204.42,-1164.08
7/1/2021 17:00,Thursday,17,97630,122717,24939,3436.21,4562,3.13,78,83,75,75,81,5028.83,-1108.92
7/1/2021 18:00,Thursday,18,97000,119801,24270,3259.07,4830,3.13,74,81,74,74,81,4985.17,-1218.42
7/1/2021 19:00,Thursday,19,95370,115982,23600,3322.67,4977,3.13,74,81,73,73,80,5030.67,-1117.5
7/1/2021 20:00,Thursday,20,92190,112386,22864,3383.23,5134,3.13,73,79,73,71,78,4586.5,-1143.08
7/1/2021 21:00,Thursday,21,89730,108423,22127,3119.14,5474,3.13,73,76,70,69,76,4468.25,-1261.83
7/1/2021 22:00,Thursday,22,86110,101752,20863,2949.74,5949,3.13,72,75,69,66,73,4508.67,-1322.5
7/1/2021 23:00,Thursday,23,80390,94278,19516,2863.96,6301,3.13,73,74,67,64,71,3794.17,-1193.92
7/2/2021 0:00,Friday,0,75160,83149,18290,2500.08,6419,3.13,73,73,66,63,69,2560.42,-1098.5
7/2/2021 1:00,Friday,1,70550,78754,17550,2504.61,5231,3.13,72,74,65,60,69,2967.92,-1023.25
7/2/2021 2:00,Friday,2,67900,75917,16916,2420.39,5118,3.13,72,74,64,59,67,3082.92,-1021.17
7/2/2021 3:00,Friday,3,65980,74330,16490,2342.04,4759,3.13,71,73,64,59,66,3168.67,-990.58
7/2/2021 4:00,Friday,4,64680,74424,16375,2346.3,4426,3.13,71,72,63,58,64,3197.17,-1066.5
7/2/2021 5:00,Friday,5,64690,76656,16652,2554.87,4077,3.13,70,72,62,57,63,3054,-1015
7/2/2021 6:00,Friday,6,66370,81100,17575,2444.35,3796,3.13,70,71,61,57,63,2538.42,-831.58
7/2/2021 7:00,Friday,7,68780,85978,18812,2275.25,3420,3.12,72,71,61,57,62,2653.92,-1040.67
7/2/2021 8:00,Friday,8,72380,89923,19866,1636.96,2930,3.12,70,72,63,60,64,2769.08,-1178.58
7/2/2021 9:00,Friday,9,75730,92949,20594,1198.51,2400,3.12,71,73,64,62,67,2829.42,-1260.67
7/2/2021 10:00,Friday,10,78910,95880,20995,1205.28,2201,3.12,73,74,66,65,70,2703.75,-1346.33
7/2/2021 11:00,Friday,11,81960,97993,21271,1086.06,2261,3.12,74,74,67,68,73,2763.92,-1367
7/2/2021 12:00,Friday,12,84610,99859,21472,1368.61,2356,3.12,75,75,69,69,75,2619.42,-1190.5
7/2/2021 13:00,Friday,13,86890,101341,21501,1457.7,2401,3.12,76,76,70,71,77,2806.58,-1289.33
7/2/2021 14:00,Friday,14,88760,102302,21478,1416.25,2430,3.12,74,78,71,72,78,2941.08,-1292.92
7/2/2021 15:00,Friday,15,89860,102637,21472,1421.16,2545,3.12,75,78,71,73,79,3010.83,-1084.33
7/2/2021 16:00,Friday,16,90550,102642,21623,1360.31,2716,3.12,76,79,72,73,79,3025.25,-929.08
7/2/2021 17:00,Friday,17,90890,101964,21648,1501.59,2685,3.12,75,78,72,74,80,3239.42,-847
7/2/2021 18:00,Friday,18,90360,100497,21226,1540.26,2646,3.12,72,77,71,74,79,3281,-879.92
7/2/2021 19:00,Friday,19,88890,98127,20744,1576.04,2719,3.12,74,77,70,73,79,3081.17,-1038.42
7/2/2021 20:00,Friday,20,85920,95262,20267,1558.56,2978,3.12,71,74,69,72,77,2885.83,-1036.33
7/2/2021 21:00,Friday,21,83780,92530,19790,1623.95,3523,3.12,68,71,67,70,75,3154.33,-1090.92
7/2/2021 22:00,Friday,22,80590,87905,18686,1886.32,4176,3.12,67,69,65,67,72,2937.17,-1059.25
7/2/2021 23:00,Friday,23,75500,81613,17431,1772.23,4806,3.12,65,68,63,65,70,1897.17,-841.17
7/3/2021 0:00,Saturday,0,70420,75683,16327,1665.16,5304,3.12,64,67,62,63,68,1336.5,-454.75
7/3/2021 1:00,Saturday,1,67560,71441,15444,1238.91,5715,3.12,62,66,62,63,68,2177.92,-497.58
7/3/2021 2:00,Saturday,2,64460,68651,14867,886.89,5937,3.12,62,65,61,61,66,2227.25,-653.58
7/3/2021 3:00,Saturday,3,62770,66818,14433,774.25,5856,3.11,62,65,60,59,66,2417.92,-749.58
7/3/2021 4:00,Saturday,4,61850,66128,14244,611.3,5738,3.11,62,64,58,58,65,2296.25,-653
7/3/2021 5:00,Saturday,5,61320,66423,14268,591.42,5494,3.11,62,63,58,58,64,2202.17,-630.25
7/3/2021 6:00,Saturday,6,61070,67327,14433,656.53,5321,3.11,62,63,57,58,64,2208.58,-634.08
7/3/2021 7:00,Saturday,7,60530,70271,15006,902.59,4988,3.11,61,64,58,58,63,2216.25,-545.17
7/3/2021 8:00,Saturday,8,63380,74590,15924,1211.41,4099,3.11,61,67,61,61,66,2390.33,-590.58
7/3/2021 9:00,Saturday,9,67950,78884,16642,909.97,3182,3.11,61,70,64,66,69,2187.75,-623.42
7/3/2021 10:00,Saturday,10,72360,82506,17189,623.79,2915,3.11,62,72,68,71,73,2527.83,-528.58
7/3/2021 11:00,Saturday,11,76210,85456,17416,940.63,3055,3.11,62,74,70,75,75,2733.83,-581.33
7/3/2021 12:00,Saturday,12,79620,87821,17510,1335.03,3329,3.11,64,76,72,78,78,2537.25,-558.17
7/3/2021 13:00,Saturday,13,82480,89840,17472,1153.01,3621,3.11,64,77,74,80,80,2592.33,-597.33
7/3/2021 14:00,Saturday,14,84920,91590,17434,1335.44,3966,3.11,63,78,75,82,82,2940.67,-693.75
7/3/2021 15:00,Saturday,15,87030,93597,17434,1489.96,4495,3.11,64,79,76,84,83,2801.5,-687.33
7/3/2021 16:00,Saturday,16,89090,95677,17567,1616.84,5079,3.11,64,80,77,86,84,2457.58,-402.5
7/3/2021 17:00,Saturday,17,90660,97357,17618,1774.88,5407,3.11,66,79,77,86,85,2526.42,-308
7/3/2021 18:00,Saturday,18,90840,97247,17677,2092.86,5590,3.11,64,79,77,87,85,3234.25,-350.17
7/3/2021 19:00,Saturday,19,89400,95238,17618,2149.7,5678,3.11,65,78,76,85,84,3391,-349
7/3/2021 20:00,Saturday,20,86680,92446,17345,1801.34,5941,3.11,64,75,75,84,83,3471.33,-510.67
7/3/2021 21:00,Saturday,21,83640,90548,17198,2007.74,6798,3.11,63,72,73,83,80,3373.33,-568.25
7/3/2021 22:00,Saturday,22,80060,86190,16586,2433.57,7887,3.11,63,69,70,79,77,3507.75,-713.83
7/3/2021 23:00,Saturday,23,75080,80523,15821,2938.55,9007,3.1,62,68,69,77,75,2738.17,-670.75
7/4/2021 0:00,Sunday,0,70110,75019,14999,3240.2,10112,3.1,61,66,68,76,74,1951.92,-336.17
7/4/2021 1:00,Sunday,1,66540,70834,13998,3191.85,12589,3.1,60,64,67,73,72,2572.75,-379.17
7/4/2021 2:00,Sunday,2,63180,68056,13556,3559.24,13492,3.1,61,64,66,73,72,3009.83,-382.92
7/4/2021 3:00,Sunday,3,60960,66164,13222,3788.25,13643,3.1,61,63,65,72,71,3210.25,-273.42
7/4/2021 4:00,Sunday,4,59630,65105,13089,3764.94,13663,3.1,61,62,65,70,70,3167.58,-314.17
7/4/2021 5:00,Sunday,5,57890,64654,13022,3647.22,13425,3.1,61,61,64,70,69,2838,-309.33
7/4/2021 6:00,Sunday,6,55290,64357,13139,3199.06,13115,3.1,62,61,64,69,68,2895.5,-346.25
7/4/2021 7:00,Sunday,7,52780,66943,13662,2781.85,12286,3.1,64,63,65,68,68,2546.67,-283.5
7/4/2021 8:00,Sunday,8,55530,72437,14256,1935.48,10068,3.1,65,68,68,71,70,2839.08,-291.08
7/4/2021 9:00,Sunday,9,61350,79150,15023,1390.89,8363,3.1,66,73,71,75,74,3091.5,-430.75
7/4/2021 10:00,Sunday,10,67600,84975,15740,730.46,7695,3.1,68,76,74,78,77,3595.92,-438.08
7/4/2021 11:00,Sunday,11,73180,90324,16323,651.37,8419,3.1,70,79,77,81,80,3687.5,-351.92
7/4/2021 12:00,Sunday,12,77920,95368,16707,604.63,9358,3.1,73,81,79,84,83,3110.92,-195.42
7/4/2021 13:00,Sunday,13,81760,99506,16973,361.63,9854,3.1,74,82,81,86,85,3034.5,-70.25
7/4/2021 14:00,Sunday,14,84850,103091,17273,293.91,10024,3.1,78,83,82,87,87,2721.75,90.83
7/4/2021 15:00,Sunday,15,87640,106540,17624,326.42,10206,3.1,75,84,84,88,88,2660.67,46
7/4/2021 16:00,Sunday,16,90480,109932,18024,470.63,10473,3.1,76,84,85,89,89,2637.58,50
7/4/2021 17:00,Sunday,17,92870,112164,18474,665.35,10523,3.1,77,84,85,89,89,2943,193.42
7/4/2021 18:00,Sunday,18,93810,112010,18724,788.36,10544,3.1,75,83,84,89,89,3422,327.5
7/4/2021 19:00,Sunday,19,92440,109461,18607,1003.19,10392,3.09,73,81,83,88,88,3033.25,-5.17
7/4/2021 20:00,Sunday,20,88940,105229,18307,913.98,10226,3.09,72,79,81,87,86,2628.25,-106.83
7/4/2021 21:00,Sunday,21,85820,102178,18190,1155.8,10635,3.09,70,75,78,85,83,2755.92,-442.42
7/4/2021 22:00,Sunday,22,82400,96686,17390,1643.13,11361,3.09,71,73,76,82,80,2721.08,-388.08
7/4/2021 23:00,Sunday,23,77950,89637,16440,1884.7,11953,3.09,69,71,74,80,78,3008.92,-412.58
7/5/2021 0:00,Monday,0,73410,84619,15669,2163.63,12353,3.09,69,71,73,79,77,2801,-409
7/5/2021 1:00,Monday,1,69310,79473,14901,2264.37,13872,3.09,68,70,71,77,76,3037.42,-290.83
7/5/2021 2:00,Monday,2,66960,75946,14390,2501.41,13501,3.09,69,69,70,75,75,3096.67,-344.25
7/5/2021 3:00,Monday,3,65080,73023,14083,2544.05,12957,3.09,68,68,70,74,74,3016.42,-465.58
7/5/2021 4:00,Monday,4,64250,71380,13834,2525.47,12380,3.09,67,67,69,73,73,3118.92,-491.42
7/5/2021 5:00,Monday,5,64820,70632,13810,2513.45,11635,3.09,68,66,68,72,72,3168,-507
7/5/2021 6:00,Monday,6,66270,70382,14083,2442.59,10994,3.09,67,67,68,72,71,3012.75,-419.33
7/5/2021 7:00,Monday,7,69710,74080,14753,2323,9957,3.09,67,68,68,71,71,2674.25,-474.75
7/5/2021 8:00,Monday,8,75130,81031,15720,1989.6,8346,3.09,71,72,71,73,73,2406.92,-484.83
7/5/2021 9:00,Monday,9,81090,89033,16638,1449.56,7162,3.09,72,76,75,77,76,1944.67,-454.08
7/5/2021 10:00,Monday,10,87070,97080,17631,890.51,6694,3.09,74,79,79,80,80,1789.83,-519.17
7/5/2021 11:00,Monday,11,92820,104462,18549,1006.25,6467,3.09,75,83,82,83,83,1940.25,-412.33
7/5/2021 12:00,Monday,12,97690,110899,19269,1077.38,6336,3.09,79,85,84,85,85,2351.83,-59.08
7/5/2021 13:00,Monday,13,101660,115942,19864,1207.35,6233,3.09,80,86,86,87,87,2610.25,-246.67
7/5/2021 14:00,Monday,14,104720,120101,20385,1478.82,6182,3.09,80,87,87,88,88,2653.17,-581.5
7/5/2021 15:00,Monday,15,106610,123506,20907,1822.68,6209,3.08,82,87,89,89,89,2745.92,-600
7/5/2021 16:00,Monday,16,107750,126362,21279,2125.22,6269,3.08,80,88,89,90,90,2697.92,-457
7/5/2021 17:00,Monday,17,108420,128068,21304,2362.17,6259,3.08,80,87,89,90,90,2662.17,-426.17
7/5/2021 18:00,Monday,18,108160,126979,21155,2466.92,6360,3.08,79,87,88,90,89,3066.08,-502.25
7/5/2021 19:00,Monday,19,106160,123318,20658,2280.4,6408,3.08,80,85,87,88,89,2743.42,-569.42
7/5/2021 20:00,Monday,20,101880,118397,20261,1738.18,6456,3.08,80,82,85,87,87,2560,-413.83
