Date,DayOfWeek,Hour,GS-PIQ: NY Demand Forecast (Mod) Multi-Day (Details)(4252)-MW,GS-PIQ: PJM-E Demand Forecast (Mod) Multi-Day (Details)(4354)-MW,GS-PIQ: MISO Demand Forecast (Zonal Sum) Multi-Day (Details)(47581)-MW,WBI: Temp New York City NY (NYC)(5708)-Deg,PJM: Southern Forecasted Factored Weather Temp(6177)-F,PJM: Western Forecasted Factored Weather Temp(6024)-F,PJM: COMED Forecasted Factored Weather Temp(6804)-F,GS-PIQ: MISO Forecasted Factored Weather Temp(6882)-F,PJM: Tie-Flows MISO imports 5Min(7732)-MW,PJM: InterTieFlow-NYIS(6096)-MW
7/1/2021 0:00,Thursday,0,20573,37658,79646,74,79,72,72,73,2760.83,-1073.92
7/1/2021 1:00,Thursday,1,19658,35598,75289,74,78,72,72,72,2944.42,-1244.17
7/1/2021 2:00,Thursday,2,18797,34151,72007,75,77,71,70,72,3500.17,-1509.33
7/1/2021 3:00,Thursday,3,18358,33016,69619,74,76,71,69,71,3468.67,-1598.42
7/1/2021 4:00,Thursday,4,18310,32789,68551,74,76,71,69,70,3517.25,-1655.17
7/1/2021 5:00,Thursday,5,18765,33413,69121,74,75,70,68,69,3288.58,-1789.92
7/1/2021 6:00,Thursday,6,19817,35002,71495,73,74,70,67,69,3108.33,-1609.5
7/1/2021 7:00,Thursday,7,21258,37133,75244,74,75,70,67,68,3238,-1864.08
7/1/2021 8:00,Thursday,8,22288,39540,79730,76,78,71,67,70,3326,-1241.75
7/1/2021 9:00,Thursday,9,23295,41810,83848,78,81,72,69,72,3304.5,-1108.08
7/1/2021 10:00,Thursday,10,24096,44193,87517,80,84,72,71,74,3639.83,-1158.42
7/1/2021 11:00,Thursday,11,24806,46292,91133,82,86,73,72,76,3529.33,-1153.25
7/1/2021 12:00,Thursday,12,25207,48051,94026,82,87,73,73,78,3859.75,-1243.75
7/1/2021 13:00,Thursday,13,25407,48902,96474,83,88,74,74,79,4468,-1176.92
7/1/2021 14:00,Thursday,14,25497,48902,98018,71,87,75,76,80,4918.83,-1150.58
7/1/2021 15:00,Thursday,15,25318,48006,99161,74,86,75,77,81,5008.08,-1221.92
7/1/2021 16:00,Thursday,16,24984,47167,99565,75,85,75,76,81,5204.42,-1164.08
7/1/2021 17:00,Thursday,17,24939,46240,99263,78,83,75,75,81,5028.83,-1108.92
7/1/2021 18:00,Thursday,18,24270,44849,98066,74,81,74,74,81,4985.17,-1218.42
7/1/2021 19:00,Thursday,19,23600,43285,95731,74,81,73,73,80,5030.67,-1117.5
7/1/2021 20:00,Thursday,20,22864,42126,92964,73,79,73,71,78,4586.5,-1143.08
7/1/2021 21:00,Thursday,21,22127,40445,90356,73,76,70,69,76,4468.25,-1261.83
7/1/2021 22:00,Thursday,22,20863,37490,86913,72,75,69,66,73,4508.67,-1322.5
7/1/2021 23:00,Thursday,23,19516,34592,81757,73,74,67,64,71,3794.17,-1193.92
7/2/2021 0:00,Friday,0,18290,31810,76242,73,73,66,63,69,2560.42,-1098.5
7/2/2021 1:00,Friday,1,17550,29988,71487,72,74,65,60,69,2967.92,-1023.25
7/2/2021 2:00,Friday,2,16916,28960,68392,72,74,64,59,67,3082.92,-1021.17
7/2/2021 3:00,Friday,3,16490,28185,66271,71,73,64,59,66,3168.67,-990.58
7/2/2021 4:00,Friday,4,16375,28291,65438,71,72,63,58,64,3197.17,-1066.5
7/2/2021 5:00,Friday,5,16652,29242,65979,70,72,62,57,63,3054,-1015
7/2/2021 6:00,Friday,6,17575,30915,68222,70,71,61,57,63,2538.42,-831.58
7/2/2021 7:00,Friday,7,18812,32596,71407,72,71,61,57,62,2653.92,-1040.67
7/2/2021 8:00,Friday,8,19866,33716,75208,70,72,63,60,64,2769.08,-1178.58
7/2/2021 9:00,Friday,9,20594,34836,78393,71,73,64,62,67,2829.42,-1260.67
7/2/2021 10:00,Friday,10,20995,35583,81552,73,74,66,65,70,2703.75,-1346.33
7/2/2021 11:00,Friday,11,21271,36255,84451,74,74,67,68,73,2763.92,-1367
