Date,DayOfWeek,Hour,MISO: Demand ISO Multiday Forecast(6947)-MW,PJM: ISO Forecasted Demand RTO Hourly(4497)-MW,MISO: Day Ahead Wind Forecast(17215)-MW,PJM: Generation Forecast - Next Day Wind (locked @ 4:30 AM)(51964)-MW,ARGUS: NatGas - Average -  Transco Z6 Non-NY(4631)-$/MCF,ARGUS: NatGas - Average -  Tetco M-3(4630)-$/MCF,ARGUS: NatGas - Average -  Chicago City Gate(4625)-$/MCF,PJM: HUB DA Hourly LMP - West Internal Hub(4623)-$/MWh,PJM: HUB DA Hourly LMP - Western Hub(4624)-$/MWh,PJM: Western Forecasted Factored Weather Temp(6024)-F,PJM: Southern Forecasted Factored Weather Temp(6177)-F,PJM: COMED Forecasted Factored Weather Temp(6804)-F,MISO: RT Hourly LMP MINN HUB(5989)-$/MWh,MISO: RT Hourly LMP ILLINIOS HUB(5971)-$/MWh,MISO: RT Hourly LMP MICHIGAN HUB(5980)-$/MWh,IMPORT-PJM,LMP-COMED-PJM,LMP-AEP-PJM
11/1/2021 0:00,Monday,0,58300,67075,8278,4677.92,4.43,4.39,5.18,48.43,47.48,49,52,41,39.52,40.29,40.77,-1931,18.23,34.07
11/1/2021 1:00,Monday,1,58590,65189,8917,4301.94,4.44,4.4,5.17,45.68,44.68,49,54,39,35.62,35.98,36.4,-2588,25.73,37.17
11/1/2021 2:00,Monday,2,58700,64490,8542,4037.22,4.46,4.42,5.17,43.5,42.7,48,53,38,35.85,36.3,37.02,-3446,29.67,37.41
11/1/2021 3:00,Monday,3,58750,64783,8179,3798.74,4.48,4.44,5.17,44.34,43.31,46,52,37,35.86,36.79,37.27,-3414,30.38,40.38
11/1/2021 4:00,Monday,4,58440,66454,7747,3507.89,4.5,4.46,5.17,49.42,49.01,45,51,37,35.64,37.46,37.43,-2767,25.34,40.46
11/1/2021 5:00,Monday,5,60110,70659,7181,3197.64,4.52,4.49,5.17,57.43,56.51,44,50,36,37.83,43.28,41.51,-2614,32.35,46.89
11/1/2021 6:00,Monday,6,64500,78348,6569,2880.37,4.55,4.51,5.16,81.76,81.84,43,49,35,48.88,91.59,75.32,-1659,55.12,77.38
11/1/2021 7:00,Monday,7,70250,83700,6060,2567.53,4.57,4.53,5.16,96.11,91.08,43,49,34,48.34,65.17,58.96,-1490,105.42,124.57
11/1/2021 8:00,Monday,8,73500,85013,5759,2049.54,4.59,4.56,5.16,78.62,75.22,42,49,33,56.27,66.12,61.42,-2013,57.3,61.12
11/1/2021 9:00,Monday,9,74280,84677,5382,1537.93,4.61,4.58,5.16,74.03,70.36,43,53,34,54.22,69.07,62.02,-2030,65.82,67.23
