Date,DayOfWeek,Hour,DEMAND-MISO,DEMAND-PJM,WIND-PJM,WIND-MISO,NATGAS-TRANSCO-Z6,NATGAS-TETCO,NATGAS-CHICAGO,TEMP-NY,TEMPERATURE-SOUTHERN-PJM,TEMPERATURE-WESTERN-PJM,TEMPERATURE-COMED,TEMP-MISO,IMPORT-PJM,IMPORT-NY
11/1/2021 0:00,Monday,0,58300,67035,5173.06,8273,4.43,4.39,5.18,57,52,49,41,44,2425,786.92
11/1/2021 1:00,Monday,1,58590,65467,4632.5,7780,4.44,4.4,5.17,55,54,49,39,42,2851.92,722.92
11/1/2021 2:00,Monday,2,58700,64794,4405.72,7503,4.46,4.42,5.17,55,53,48,38,42,3395.08,735
11/1/2021 3:00,Monday,3,58750,65039,4127.16,7229,4.48,4.44,5.17,54,52,46,37,41,3306.42,757.42
11/1/2021 4:00,Monday,4,58440,66656,3843.49,6913,4.5,4.46,5.17,53,51,45,37,40,2685.5,915.42
11/1/2021 5:00,Monday,5,60110,70993,3571.88,6569,4.52,4.49,5.17,53,50,44,36,39,2314,782.25
11/1/2021 6:00,Monday,6,64500,78335,3081.64,6236,4.55,4.51,5.16,53,49,43,35,39,1789.42,945.58
11/1/2021 7:00,Monday,7,70250,83691,2733.14,6060,4.57,4.53,5.16,52,49,43,34,38,1341.83,736
11/1/2021 8:00,Monday,8,73500,85000,2043.04,6026,4.59,4.56,5.16,52,49,42,33,38,1499.17,549.67
11/1/2021 9:00,Monday,9,74280,84674,1496.73,5478,4.61,4.58,5.16,55,53,43,34,39,1219.08,408
11/1/2021 10:00,Monday,10,74000,84448,1397.62,4793,4.63,4.6,5.16,54,57,45,37,42,929.17,309.75
11/1/2021 11:00,Monday,11,73490,84032,1365.42,4636,4.66,4.62,5.16,56,60,47,41,45,1471.33,-26.92
11/1/2021 12:00,Monday,12,73150,83753,1497.77,5551,4.68,4.65,5.15,57,61,49,43,48,1980.75,-101.83
11/1/2021 13:00,Monday,13,73000,83328,1790.83,6824,4.7,4.67,5.15,56,62,50,44,49,2142,-0.83
11/1/2021 14:00,Monday,14,72850,82715,1970.01,7911,4.72,4.69,5.15,57,63,52,46,50,2530.92,66.5
11/1/2021 15:00,Monday,15,72550,82303,2333.92,8353,4.74,4.72,5.15,57,63,52,46,51,2632.17,117.92
11/1/2021 16:00,Monday,16,72390,82971,2080.88,8225,4.77,4.74,5.15,57,62,52,46,51,2649.17,156.58
11/1/2021 17:00,Monday,17,72630,84590,2050.13,7685,4.79,4.76,5.14,57,62,51,47,51,2569.08,17.83
11/1/2021 18:00,Monday,18,73790,86594,2144.16,6721,4.81,4.79,5.14,55,58,50,46,50,2187.92,251.08
11/1/2021 19:00,Monday,19,75090,87841,2575.3,5900,4.83,4.81,5.14,54,54,48,44,48,2380,430
11/1/2021 20:00,Monday,20,74360,86791,2466.58,5482,4.85,4.83,5.14,53,52,46,42,46,2434.5,193.08
11/1/2021 21:00,Monday,21,72300,83770,2547.53,5209,4.88,4.85,5.14,53,50,45,41,44,2847.33,-109.5
11/1/2021 22:00,Monday,22,69350,79497,2781.79,5011,4.9,4.88,5.13,51,49,44,39,43,2815.17,-50.25
11/1/2021 23:00,Monday,23,66970,75281,2959.69,4892,4.92,4.9,5.13,52,48,44,39,42,3271.42,108.33
