Date,NatGas - Dominion South,NatGas - Transco Z6 Non-NY,NatGas - Tetco M-3,Coal - Northern Appalachia,Coal - Central Appalachia,NatGas - Chicago,NatGas - Transco-Z5 (non-WGL),NatGas - Henry,NatGas - Transco Z6 (NY)
1/1/2020,1.9,1.98,1.91,2.01,2.43,1.95,2.04,2.05,2.03
1/2/2020,1.85,1.91,1.86,2.01,2.43,1.95,1.99,2.03,1.95
1/3/2020,1.66,1.93,1.86,2.01,2.42,1.94,2.01,2.01,1.97
1/4/2020,1.63,2.05,1.91,2.02,2.4,1.93,2.1,2.02,2.09
1/5/2020,1.63,2.05,1.91,2.03,2.38,1.93,2.1,2.02,2.09
1/6/2020,1.63,2.14,2.05,2.04,2.37,1.98,2.18,2.06,2.16
1/7/2020,1.71,2.2,2.2,2.05,2.35,2.03,2.28,2.1,2.25
1/8/2020,1.79,2.14,2.14,2.06,2.33,1.99,2.22,2.1,2.22
1/9/2020,1.75,1.98,1.96,2.07,2.31,1.96,2.05,2.05,2.02
1/10/2020,1.67,1.73,1.75,2.08,2.3,1.98,1.97,2.03,1.76
1/11/2020,1.63,1.63,1.68,2.08,2.3,2.02,2,2.06,1.67
1/12/2020,1.64,1.63,1.68,2.08,2.3,2.02,2,2.06,1.67
1/13/2020,1.62,1.81,1.82,2.08,2.3,2.03,2.03,2.06,1.83
1/14/2020,1.68,2.04,1.98,2.08,2.3,2.05,2.09,2.1,2.04
1/15/2020,1.8,2.09,2.01,2.08,2.3,2.02,2.11,2.06,2.1
1/16/2020,1.81,2.31,2.28,2.08,2.3,1.98,2.28,2.02,2.39
1/17/2020,1.81,2.94,2.92,2.08,2.3,1.99,2.98,2.05,3.08
1/18/2020,1.82,3.43,3.37,2.08,2.3,1.97,3.56,2.02,3.58
1/19/2020,1.81,3.43,3.37,2.08,2.3,1.97,3.56,2.02,3.58
1/20/2020,1.8,3.43,3.37,2.08,2.3,1.97,3.56,2.02,3.58
1/21/2020,1.73,2.89,2.79,2.08,2.3,1.9,2.98,1.99,2.99
1/22/2020,1.63,2.13,1.97,2.08,2.3,1.81,2.18,1.92,2.16
1/23/2020,1.56,1.9,1.76,2.08,2.3,1.81,2.02,1.92,1.93
1/24/2020,1.54,1.8,1.69,2.07,2.3,1.8,1.99,1.93,1.83
1/25/2020,1.53,1.81,1.67,2.05,2.31,1.77,1.97,1.91,1.83
1/26/2020,1.53,1.81,1.67,2.03,2.32,1.77,1.97,1.91,1.83
1/27/2020,1.52,1.89,1.73,2.01,2.33,1.8,2,1.93,1.92
1/28/2020,1.54,2.01,1.85,1.99,2.34,1.83,2.05,1.96,2.02
1/29/2020,1.57,1.98,1.86,1.97,2.35,1.81,2.05,1.94,1.97
1/30/2020,1.52,1.89,1.74,1.95,2.36,1.79,1.98,1.92,1.91
1/31/2020,1.45,1.81,1.66,1.94,2.37,1.72,1.91,1.88,1.82
2/1/2020,1.45,1.74,1.65,1.94,2.37,1.67,1.86,1.85,1.73
2/2/2020,1.48,1.74,1.65,1.94,2.37,1.67,1.86,1.85,1.73
2/3/2020,1.5,1.71,1.65,1.94,2.37,1.7,1.84,1.85,1.72
2/4/2020,1.53,1.71,1.65,1.94,2.37,1.73,1.82,1.85,1.74
2/5/2020,1.53,1.72,1.65,1.94,2.37,1.74,1.84,1.86,1.76
2/6/2020,1.53,1.75,1.67,1.94,2.37,1.74,1.9,1.86,1.79
2/7/2020,1.55,1.82,1.71,1.93,2.37,1.75,1.94,1.88,1.85
2/8/2020,1.58,1.81,1.7,1.9,2.37,1.76,1.94,1.89,1.84
2/9/2020,1.57,1.81,1.7,1.87,2.37,1.76,1.94,1.89,1.84
2/10/2020,1.58,1.78,1.69,1.85,2.37,1.74,1.89,1.85,1.8
2/11/2020,1.56,1.76,1.68,1.82,2.37,1.71,1.83,1.81,1.79
2/12/2020,1.55,1.8,1.7,1.79,2.37,1.77,1.87,1.84,1.82
2/13/2020,1.59,2.11,2.03,1.76,2.37,1.82,2.19,1.88,2.1
2/14/2020,1.66,2.15,2.11,1.75,2.37,1.77,2.24,1.88,2.18
2/15/2020,1.69,1.81,1.77,1.75,2.37,1.73,1.89,1.86,1.87
2/16/2020,1.68,1.81,1.77,1.75,2.37,1.73,1.89,1.86,1.87
2/17/2020,1.67,1.81,1.77,1.75,2.37,1.73,1.89,1.86,1.87
2/18/2020,1.62,1.91,1.83,1.75,2.37,1.79,1.96,1.92,1.94
2/19/2020,1.58,2.15,2.08,1.75,2.37,1.88,2.21,2,2.16
2/20/2020,1.68,2.24,2.15,1.75,2.37,1.87,2.41,2,2.29
2/21/2020,1.75,2.05,1.88,1.75,2.37,1.8,2.23,1.95,2.08
2/22/2020,1.72,1.9,1.74,1.74,2.36,1.75,1.99,1.92,1.9
2/23/2020,1.7,1.9,1.74,1.73,2.35,1.75,1.99,1.92,1.9
2/24/2020,1.65,1.8,1.69,1.72,2.35,1.74,1.94,1.91,1.8
2/25/2020,1.58,1.71,1.65,1.71,2.34,1.75,1.9,1.89,1.72
2/26/2020,1.54,1.81,1.73,1.7,2.33,1.77,1.98,1.91,1.82
2/27/2020,1.55,1.83,1.76,1.69,2.32,1.7,1.97,1.86,1.84
2/28/2020,1.52,1.7,1.64,1.69,2.32,1.61,1.82,1.76,1.73
2/29/2020,1.44,1.65,1.55,1.69,2.32,1.58,1.74,1.73,1.67
3/1/2020,2.08,1.65,1.55,1.69,2.32,1.58,1.74,1.73,1.67
3/2/2020,2.11,1.6,1.53,1.69,2.32,1.58,1.72,1.72,1.61
3/3/2020,1.44,1.58,1.53,1.69,2.32,1.59,1.75,1.73,1.59
3/4/2020,1.45,1.63,1.58,1.69,2.32,1.63,1.83,1.78,1.65
3/5/2020,1.49,1.65,1.62,1.69,2.32,1.66,1.87,1.81,1.67
3/6/2020,1.52,1.6,1.58,1.69,2.32,1.6,1.81,1.79,1.62
3/7/2020,1.53,1.52,1.5,1.69,2.32,1.53,1.72,1.75,1.54
3/8/2020,1.53,1.52,1.5,1.69,2.32,1.53,1.72,1.75,1.54
3/9/2020,1.46,1.49,1.48,1.69,2.32,1.54,1.72,1.74,1.49
3/10/2020,1.38,1.52,1.51,1.69,2.32,1.61,1.76,1.79,1.5
3/11/2020,1.42,1.63,1.59,1.69,2.32,1.73,1.85,1.88,1.63
3/12/2020,1.5,1.59,1.56,1.69,2.32,1.73,1.84,1.87,1.6
3/13/2020,1.48,1.57,1.57,1.69,2.31,1.71,1.83,1.88,1.59
3/14/2020,1.44,1.66,1.65,1.7,2.28,1.75,1.89,1.95,1.68
3/15/2020,1.44,1.66,1.65,1.71,2.26,1.75,1.89,1.95,1.68
3/16/2020,1.49,1.56,1.56,1.72,2.23,1.72,1.88,1.9,1.57
3/17/2020,1.47,1.45,1.47,1.73,2.2,1.67,1.83,1.84,1.38
3/18/2020,1.38,1.4,1.37,1.74,2.18,1.57,1.72,1.74,1.3
3/19/2020,1.3,1.29,1.28,1.75,2.15,1.51,1.62,1.64,1.27
3/20/2020,1.23,1.38,1.39,1.75,2.14,1.54,1.6,1.65,1.37
3/21/2020,1.23,1.51,1.5,1.75,2.14,1.55,1.61,1.68,1.51
3/22/2020,1.23,1.51,1.5,1.75,2.14,1.55,1.61,1.68,1.51
3/23/2020,1.3,1.48,1.46,1.75,2.14,1.52,1.63,1.66,1.46
3/24/2020,1.35,1.52,1.46,1.75,2.14,1.51,1.69,1.67,1.53
3/25/2020,1.35,1.5,1.45,1.75,2.14,1.54,1.72,1.71,1.52
3/26/2020,1.34,1.34,1.36,1.75,2.14,1.51,1.66,1.68,1.33
3/27/2020,1.27,1.21,1.24,1.75,2.14,1.44,1.59,1.64,1.21
3/28/2020,1.24,1.13,1.14,1.76,2.15,1.4,1.55,1.63,1.13
3/29/2020,1.23,1.13,1.14,1.77,2.16,1.4,1.55,1.63,1.13
3/30/2020,1.2,1.28,1.26,1.77,2.17,1.42,1.6,1.64,1.28
3/31/2020,1.22,1.51,1.44,1.78,2.18,1.51,1.66,1.67,1.52
4/1/2020,1.32,1.48,1.44,1.79,2.19,1.55,1.61,1.65,1.49
4/2/2020,1.33,1.36,1.36,1.8,2.2,1.49,1.48,1.54,1.35
4/3/2020,1.26,1.32,1.34,1.8,2.21,1.45,1.39,1.47,1.33
4/4/2020,1.26,1.3,1.33,1.8,2.21,1.43,1.36,1.45,1.35
4/5/2020,1.26,1.3,1.33,1.8,2.21,1.43,1.36,1.45,1.35
4/6/2020,1.27,1.35,1.35,1.8,2.21,1.53,1.5,1.53,1.37
4/7/2020,1.31,1.43,1.43,1.8,2.21,1.68,1.71,1.69,1.44
4/8/2020,1.39,1.47,1.48,1.8,2.21,1.74,1.79,1.78,1.48
4/9/2020,1.43,1.4,1.43,1.8,2.21,1.71,1.7,1.75,1.39
4/10/2020,1.43,1.31,1.36,1.8,2.21,1.67,1.62,1.7,1.31
4/11/2020,1.43,1.31,1.36,1.8,2.21,1.67,1.62,1.7,1.31
4/12/2020,1.43,1.31,1.36,1.8,2.21,1.67,1.62,1.7,1.31
4/13/2020,1.36,1.4,1.42,1.8,2.21,1.73,1.69,1.74,1.4
4/14/2020,1.37,1.54,1.52,1.8,2.21,1.75,1.73,1.75,1.53
4/15/2020,1.45,1.56,1.54,1.8,2.21,1.66,1.65,1.68,1.57
4/16/2020,1.44,1.49,1.46,1.8,2.21,1.58,1.56,1.6,1.48
4/17/2020,1.38,1.47,1.47,1.8,2.21,1.62,1.6,1.62,1.46
4/18/2020,1.35,1.52,1.54,1.8,2.21,1.72,1.69,1.7,1.51
4/19/2020,1.36,1.52,1.54,1.8,2.21,1.72,1.69,1.7,1.51
4/20/2020,1.41,1.59,1.6,1.8,2.21,1.73,1.71,1.7,1.6
4/21/2020,1.51,1.73,1.7,1.8,2.21,1.79,1.8,1.79,1.75
4/22/2020,1.61,1.79,1.75,1.8,2.21,1.84,1.86,1.87,1.81
4/23/2020,1.62,1.78,1.75,1.8,2.21,1.84,1.84,1.86,1.8
4/24/2020,1.62,1.71,1.71,1.79,2.21,1.8,1.77,1.81,1.72
4/25/2020,1.61,1.64,1.65,1.76,2.21,1.76,1.7,1.77,1.64
4/26/2020,1.57,1.64,1.65,1.74,2.2,1.76,1.7,1.77,1.64
4/27/2020,1.55,1.59,1.62,1.71,2.2,1.72,1.65,1.71,1.61
4/28/2020,1.51,1.6,1.62,1.68,2.2,1.7,1.66,1.72,1.63
4/29/2020,1.5,1.6,1.62,1.66,2.19,1.69,1.71,1.75,1.62
4/30/2020,1.48,1.48,1.51,1.63,2.19,1.65,1.67,1.7,1.48
5/1/2020,1.44,1.36,1.39,1.62,2.19,1.68,1.65,1.67,1.36
5/2/2020,1.43,1.3,1.33,1.62,2.19,1.72,1.66,1.65,1.3
5/3/2020,1.43,1.3,1.33,1.62,2.19,1.72,1.66,1.65,1.3
5/4/2020,1.38,1.46,1.47,1.62,2.19,1.76,1.73,1.71,1.46
5/5/2020,1.44,1.63,1.62,1.62,2.19,1.88,1.89,1.85,1.64
5/6/2020,1.54,1.53,1.54,1.62,2.19,1.94,1.93,1.91,1.54
5/7/2020,1.51,1.51,1.49,1.62,2.19,1.89,1.86,1.86,1.51
5/8/2020,1.48,1.48,1.46,1.62,2.19,1.78,1.79,1.79,1.49
5/9/2020,1.44,1.37,1.37,1.62,2.19,1.69,1.73,1.74,1.38
5/10/2020,1.44,1.37,1.37,1.62,2.19,1.69,1.73,1.74,1.38
5/11/2020,1.37,1.42,1.43,1.62,2.19,1.72,1.73,1.72,1.42
5/12/2020,1.35,1.43,1.46,1.62,2.19,1.7,1.71,1.66,1.43
5/13/2020,1.36,1.31,1.34,1.62,2.19,1.59,1.65,1.59,1.33
5/14/2020,1.26,1.13,1.13,1.62,2.19,1.53,1.61,1.57,1.15
5/15/2020,1.09,1.1,1.09,1.62,2.19,1.53,1.64,1.59,1.07
5/16/2020,1,1.18,1.19,1.62,2.19,1.56,1.68,1.6,1.11
5/17/2020,1.01,1.18,1.19,1.62,2.19,1.56,1.68,1.6,1.11
5/18/2020,1.1,1.39,1.37,1.62,2.19,1.63,1.69,1.64,1.35
5/19/2020,1.35,1.54,1.54,1.62,2.19,1.73,1.75,1.74,1.54
5/20/2020,1.49,1.45,1.48,1.62,2.19,1.76,1.8,1.81,1.46
5/21/2020,1.41,1.35,1.37,1.62,2.19,1.67,1.75,1.76,1.35
5/22/2020,1.32,1.28,1.3,1.62,2.19,1.57,1.7,1.67,1.24
5/23/2020,1.29,1.29,1.31,1.63,2.2,1.54,1.71,1.64,1.22
5/24/2020,1.29,1.29,1.31,1.64,2.2,1.54,1.71,1.64,1.22
5/25/2020,1.3,1.29,1.31,1.64,2.2,1.54,1.71,1.64,1.22
5/26/2020,1.3,1.37,1.42,1.65,2.21,1.62,1.76,1.7,1.34
5/27/2020,1.35,1.47,1.52,1.66,2.21,1.72,1.81,1.75,1.49
5/28/2020,1.43,1.41,1.44,1.67,2.22,1.69,1.77,1.71,1.42
5/29/2020,1.41,1.29,1.34,1.67,2.22,1.59,1.68,1.65,1.29
5/30/2020,1.4,1.25,1.31,1.67,2.22,1.53,1.62,1.6,1.26
5/31/2020,1.42,1.25,1.31,1.67,2.22,1.53,1.62,1.6,1.26
6/1/2020,1.35,1.29,1.33,1.67,2.22,1.53,1.59,1.57,1.29
6/2/2020,1.29,1.41,1.43,1.67,2.22,1.59,1.61,1.54,1.42
6/3/2020,1.38,1.53,1.54,1.67,2.22,1.71,1.74,1.66,1.55
6/4/2020,1.45,1.5,1.52,1.67,2.22,1.75,1.79,1.74,1.52
6/5/2020,1.43,1.4,1.42,1.67,2.22,1.65,1.71,1.7,1.4
6/6/2020,1.4,1.35,1.37,1.67,2.23,1.59,1.66,1.7,1.34
6/7/2020,1.4,1.35,1.37,1.67,2.24,1.59,1.66,1.7,1.34
6/8/2020,1.37,1.44,1.46,1.67,2.25,1.61,1.7,1.69,1.44
6/9/2020,1.39,1.55,1.57,1.67,2.26,1.63,1.74,1.67,1.56
6/10/2020,1.46,1.56,1.58,1.67,2.27,1.62,1.74,1.69,1.57
6/11/2020,1.47,1.53,1.54,1.67,2.28,1.59,1.73,1.69,1.54
6/12/2020,1.43,1.38,1.38,1.67,2.28,1.53,1.65,1.65,1.39
6/13/2020,1.39,1.26,1.26,1.67,2.28,1.49,1.58,1.61,1.28
6/14/2020,1.38,1.26,1.26,1.67,2.28,1.49,1.58,1.61,1.28
6/15/2020,1.33,1.22,1.24,1.67,2.28,1.47,1.56,1.54,1.26
6/16/2020,1.2,1.26,1.26,1.67,2.28,1.42,1.46,1.42,1.28
6/17/2020,1.17,1.38,1.36,1.67,2.28,1.44,1.46,1.43,1.39
6/18/2020,1.26,1.42,1.4,1.67,2.28,1.51,1.52,1.47,1.43
6/19/2020,1.31,1.42,1.41,1.67,2.27,1.51,1.52,1.46,1.43
6/20/2020,1.31,1.44,1.43,1.67,2.26,1.52,1.55,1.47,1.44
6/21/2020,1.31,1.44,1.43,1.67,2.25,1.52,1.55,1.47,1.44
6/22/2020,1.33,1.55,1.55,1.67,2.24,1.56,1.63,1.53,1.56
6/23/2020,1.4,1.63,1.62,1.67,2.23,1.57,1.67,1.59,1.64
6/24/2020,1.43,1.54,1.54,1.67,2.22,1.56,1.62,1.57,1.55
6/25/2020,1.38,1.44,1.45,1.67,2.21,1.55,1.57,1.54,1.45
6/26/2020,1.3,1.49,1.5,1.67,2.2,1.57,1.63,1.57,1.5
6/27/2020,1.24,1.61,1.62,1.67,2.2,1.64,1.74,1.66,1.62
6/28/2020,1.22,1.61,1.62,1.67,2.2,1.64,1.74,1.66,1.62
6/29/2020,1.27,1.61,1.62,1.67,2.2,1.64,1.74,1.66,1.62
6/30/2020,1.37,1.58,1.6,1.67,2.2,1.65,1.75,1.67,1.59
7/1/2020,1.11,1.5,1.51,1.67,2.2,1.61,1.7,1.65,1.51
7/2/2020,1.06,1.46,1.43,1.67,2.2,1.54,1.62,1.57,1.48
7/3/2020,1.32,1.47,1.44,1.67,2.19,1.52,1.59,1.53,1.5
7/4/2020,1.32,1.47,1.44,1.66,2.16,1.52,1.59,1.53,1.5
7/5/2020,1.33,1.47,1.44,1.66,2.14,1.52,1.59,1.53,1.5
7/6/2020,1.32,1.6,1.58,1.65,2.12,1.63,1.68,1.61,1.63
7/7/2020,1.4,1.75,1.73,1.64,2.09,1.79,1.82,1.72,1.76
7/8/2020,1.41,1.75,1.72,1.64,2.07,1.83,1.88,1.76,1.77
7/9/2020,1.34,1.74,1.73,1.63,2.04,1.81,1.92,1.8,1.76
7/10/2020,1.37,1.71,1.74,1.63,2.03,1.75,1.9,1.79,1.72
7/11/2020,1.38,1.67,1.74,1.63,2.03,1.71,1.85,1.75,1.68
7/12/2020,1.38,1.67,1.74,1.63,2.03,1.71,1.85,1.75,1.68
7/13/2020,1.32,1.67,1.77,1.63,2.03,1.71,1.88,1.74,1.68
7/14/2020,1.29,1.68,2.01,1.63,2.03,1.69,1.87,1.71,1.68
7/15/2020,1.28,1.63,1.93,1.63,2.03,1.67,1.83,1.7,1.66
7/16/2020,1.26,1.57,1.6,1.63,2.03,1.69,1.85,1.72,1.61
7/17/2020,1.29,1.64,1.74,1.63,2.03,1.71,1.84,1.74,1.65
7/18/2020,1.29,1.72,1.93,1.63,2.03,1.7,1.82,1.73,1.74
7/19/2020,1.29,1.72,1.93,1.63,2.03,1.7,1.82,1.73,1.74
7/20/2020,1.3,1.73,1.96,1.63,2.03,1.64,1.78,1.7,1.75
7/21/2020,1.3,1.74,1.91,1.63,2.03,1.6,1.75,1.65,1.76
7/22/2020,1.26,1.74,1.88,1.63,2.03,1.62,1.76,1.63,1.75
7/23/2020,1.24,1.72,1.95,1.63,2.03,1.63,1.77,1.66,1.76
7/24/2020,1.23,1.72,1.9,1.63,2.03,1.66,1.8,1.71,1.77
7/25/2020,1.23,1.76,1.85,1.63,2.03,1.67,1.83,1.73,1.79
7/26/2020,1.24,1.76,1.85,1.63,2.03,1.67,1.83,1.73,1.79
7/27/2020,1.24,1.81,1.88,1.63,2.03,1.69,1.86,1.74,1.84
7/28/2020,1.27,1.87,1.92,1.63,2.03,1.72,1.9,1.76,1.89
7/29/2020,1.3,1.84,1.9,1.63,2.03,1.76,1.9,1.76,1.84
7/30/2020,1.3,1.65,1.71,1.63,2.03,1.77,1.9,1.75,1.66
7/31/2020,1.26,1.49,1.55,1.63,2.04,1.71,1.87,1.75,1.52
8/1/2020,3.38,1.49,1.56,1.63,2.07,1.66,1.85,1.75,1.51
8/2/2020,5.48,1.49,1.56,1.63,2.1,1.66,1.85,1.75,1.51
8/3/2020,3.33,1.57,1.63,1.63,2.12,1.73,1.97,1.83,1.57
8/4/2020,1.34,1.72,1.75,1.63,2.15,1.86,2.14,1.97,1.71
8/5/2020,1.49,1.69,1.69,1.63,2.18,1.93,2.23,2.1,1.68
8/6/2020,1.48,1.47,1.5,1.63,2.21,1.95,2.27,2.19,1.46
8/7/2020,1.36,1.37,1.4,1.63,2.22,1.92,2.24,2.17,1.37
8/8/2020,1.3,1.39,1.39,1.63,2.22,1.89,2.2,2.14,1.4
8/9/2020,1.3,1.39,1.39,1.63,2.22,1.89,2.2,2.14,1.4
8/10/2020,1.26,1.68,1.73,1.63,2.22,1.91,2.25,2.14,1.68
8/11/2020,1.22,1.97,2.06,1.63,2.22,1.95,2.27,2.15,1.96
8/12/2020,1.24,1.82,1.92,1.63,2.22,1.94,2.2,2.1,1.84
8/13/2020,1.21,1.56,1.61,1.63,2.22,1.98,2.16,2.09,1.59
8/14/2020,1.11,1.36,1.38,1.63,2.22,2.07,2.23,2.16,1.4
8/15/2020,1.05,1.27,1.33,1.63,2.22,2.11,2.29,2.21,1.32
8/16/2020,1.06,1.27,1.33,1.63,2.22,2.11,2.29,2.21,1.32
8/17/2020,1.08,1.38,1.42,1.63,2.22,2.13,2.35,2.26,1.42
8/18/2020,1.25,1.46,1.49,1.63,2.22,2.19,2.42,2.34,1.48
8/19/2020,1.35,1.31,1.35,1.63,2.22,2.22,2.43,2.37,1.31
8/20/2020,1.28,1.19,1.22,1.63,2.22,2.22,2.4,2.36,1.2
8/21/2020,1.27,1.25,1.21,1.63,2.22,2.18,2.35,2.34,1.25
8/22/2020,1.27,1.3,1.23,1.63,2.22,2.15,2.31,2.33,1.29
8/23/2020,1.26,1.3,1.23,1.63,2.22,2.15,2.31,2.33,1.29
8/24/2020,1.26,1.59,1.57,1.63,2.22,2.27,2.46,2.42,1.59
