Date,NatGas - Dominion South,NatGas - Transco Z6 Non-NY,NatGas - Tetco M-3,Coal - Northern Appalachia,Coal - Central Appalachia,NatGas - Chicago City Gate,NatGas - Transco-Z5 (non-WGL),NatGas - Henry,NatGas - Transco Z6 (NY),MidAtl Forecasted Factored Weather Temp,Western Forecasted Factored Weather Temp,Southern Forecasted Factored Weather Temp,MidAtl Forecasted Factored Weather Hi Temp
1/1/2021,1.68,2.3,2.25,1.74,2.17,2.31,2.43,2.39,2.33,35.74,38.25,42.86,37.74
1/2/2021,0.95,2.3,2.25,1.74,2.18,2.31,2.43,2.39,2.33,42.67,39.68,49.62,44.67
1/3/2021,1,2.3,2.25,1.75,2.18,2.31,2.43,2.39,2.33,37.56,37.03,44.95,39.56
1/4/2021,1.52,2.46,2.39,1.75,2.18,2.39,2.57,2.47,2.49,37.54,34.8,39.69,39.54
1/5/2021,2.15,2.69,2.59,1.75,2.19,2.54,2.81,2.64,2.74,37.52,34.19,39.75,39.52
1/6/2021,2.31,2.74,2.65,1.76,2.19,2.59,2.86,2.71,2.79,36.8,34,39.68,38.8
1/7/2021,2.33,2.76,2.69,1.76,2.2,2.61,2.91,2.71,2.8,35.61,33.19,37.19,37.61
1/8/2021,2.36,2.79,2.71,1.76,2.2,2.63,2.98,2.73,2.83,32.38,30.96,36.06,34.38
1/9/2021,2.4,2.83,2.72,1.76,2.2,2.61,2.91,2.73,2.87,32.87,29.96,37.31,34.87
1/10/2021,2.41,2.83,2.72,1.76,2.2,2.61,2.91,2.73,2.87,34.09,29.73,38.08,36.09
1/11/2021,2.36,2.83,2.7,1.76,2.2,2.59,2.91,2.69,2.89,32.48,30.31,35.61,34.48
1/12/2021,2.29,2.85,2.69,1.76,2.2,2.64,2.95,2.73,2.91,33.02,30.33,36.63,35.02
1/13/2021,2.37,2.84,2.69,1.76,2.2,2.68,2.94,2.79,2.86,35.45,34.86,36.5,37.45
1/14/2021,2.44,2.75,2.64,1.76,2.2,2.63,2.87,2.75,2.77,38.02,38.52,39.56,40.02
1/15/2021,2.42,2.76,2.68,1.76,2.2,2.64,2.93,2.76,2.86,40.69,37.81,41.08,42.69
1/16/2021,2.41,2.86,2.78,1.77,2.19,2.65,3,2.79,3.05,41.85,32.31,40.06,43.85
1/17/2021,2.41,2.86,2.78,1.78,2.19,2.65,3,2.79,3.05,38.28,33.48,39.12,40.28
1/18/2021,2.42,2.86,2.78,1.79,2.18,2.65,3,2.79,3.05,37.99,30.86,38.19,39.99
1/19/2021,2.43,2.84,2.72,1.8,2.17,2.55,2.84,2.68,2.94,36.15,32.18,39.46,38.15
1/20/2021,2.38,2.61,2.51,1.81,2.17,2.41,2.59,2.5,2.61,34.03,29.84,38.43,36.03
1/21/2021,2.27,2.45,2.39,1.82,2.16,2.39,2.52,2.42,2.45,34.15,35.99,38.74,36.15
1/22/2021,2.21,2.55,2.47,1.82,2.16,2.42,2.54,2.43,2.55,37.63,30.9,41.74,39.63
1/23/2021,2.22,2.65,2.52,1.82,2.16,2.41,2.56,2.43,2.65,29.6,24.19,32.86,31.6
1/24/2021,2.25,2.75,2.52,1.82,2.16,2.39,2.57,2.42,2.75,28.28,28.65,31.96,30.28
1/25/2021,2.23,2.65,2.5,1.82,2.16,2.43,2.56,2.48,2.65,32.83,33.37,38.81,34.83
1/26/2021,2.21,2.65,2.59,1.82,2.16,2.53,2.65,2.58,2.65,35.29,39.06,42.7,37.29
1/27/2021,2.29,3.99,3.67,1.82,2.16,2.6,3.58,2.67,3.99,34.94,30.51,40.13,36.94
1/28/2021,2.4,5.58,4.65,1.82,2.16,2.6,4.19,2.65,5.58,28.04,23.78,32.66,30.04
1/29/2021,2.4,5.47,4.68,1.82,2.16,2.59,3.79,2.61,5.51,23.11,22.98,28.71,25.11
1/30/2021,2.39,4.41,4.68,1.83,2.17,2.6,3.42,2.63,4.52,25.08,26.82,29.14,27.08
1/31/2021,2.45,3.35,3.77,1.84,2.18,2.61,3.05,2.66,3.54,28.02,33.27,34.89,30.02
2/1/2021,2.42,3.75,3.81,1.84,2.19,2.69,3.8,2.76,4.16,30.66,29.22,34.48,32.66
2/2/2021,2.49,4.99,4.89,1.85,2.2,2.86,5.1,3.02,5.37,31.92,26.77,34.19,33.92
2/3/2021,2.77,4.21,4.02,1.86,2.21,2.9,4.3,3.04,4.32,31.58,26.47,36.38,33.58
2/4/2021,2.82,3.06,3.05,1.87,2.22,2.89,3.11,2.91,3.1,33.04,30.16,37.96,35.04
2/5/2021,2.7,3.42,3.55,1.87,2.23,3.21,3.47,3.14,3.75,38.16,29.45,44.76,40.16
2/6/2021,2.69,3.88,4.16,1.87,2.23,3.5,3.91,3.39,4.52,34.94,25.15,41.28,36.94
2/7/2021,2.68,3.88,4.16,1.87,2.23,3.5,3.91,3.39,4.52,33.1,20.16,38.02,35.1
2/8/2021,2.91,3.81,4.08,1.87,2.23,3.34,3.8,3.29,4.32,23.8,21.04,32.22,25.8
2/9/2021,3.07,3.56,3.78,1.87,2.23,3.23,3.51,3.19,4.14,31.49,26.15,43.07,33.49
2/10/2021,2.95,3.67,4.24,1.87,2.23,3.62,3.66,3.58,4.57,29.25,22.81,38.05,31.25
2/11/2021,3.1,4.95,5.23,1.87,2.23,5.9,4.94,4.79,5.32,30.05,23.19,38.2,32.05
2/12/2021,3.65,5.8,5.85,1.87,2.23,35.84,5.9,5.91,5.89,24.94,24.77,32.42,26.94
2/13/2021,3.99,5.73,5.7,1.88,2.24,96.52,5.9,5.97,5.81,26.31,25.67,33.36,28.31
2/14/2021,3.88,5.69,5.7,1.89,2.25,129.46,5.91,6,5.77,31.78,23.59,35.49,33.78
2/15/2021,3.78,5.84,5.7,1.9,2.26,129.75,5.95,6,5.88,33.14,23.79,37.89,35.14
2/16/2021,3.8,10.14,9.93,1.91,2.27,78.2,12.16,11.25,10.18,39.64,20.19,45.37,41.64
2/17/2021,5.7,14.71,14.22,1.92,2.28,20.61,18.15,20.32,14.05,26.75,16.34,31.29,28.75
2/18/2021,6.61,10.18,9.61,1.93,2.29,13.06,12.18,16.25,10,27.64,25.56,32.88,29.64
2/19/2021,4.76,5.76,5.7,1.93,2.29,5.88,6.19,7.13,6.06,30.81,22.97,34.38,32.81
2/20/2021,3.77,5.7,5.7,1.93,2.29,5.09,5.97,6.26,6.45,27.76,18.61,30.28,29.76
2/21/2021,3.61,5.65,5.7,1.93,2.29,4.32,5.75,5.41,6.85,27.26,25.86,30.39,29.26
2/22/2021,3.36,4.15,4.17,1.93,2.29,3.33,4.3,3.92,4.88,34.3,37.09,39.35,36.3
2/23/2021,2.82,2.62,2.59,1.93,2.29,2.72,2.88,2.82,2.64,38.47,38.94,43.64,40.47
2/24/2021,2.37,2.63,2.6,1.93,2.29,2.7,2.83,2.77,2.62,43.83,43.56,48.39,45.83
2/25/2021,2.34,2.5,2.46,1.93,2.29,2.61,2.75,2.72,2.51,41.66,35.76,47.61,43.66
2/26/2021,2.29,2.27,2.28,1.93,2.29,2.54,2.64,2.69,2.35,38.1,37.32,41.79,40.1
2/27/2021,2.24,2.32,2.41,1.94,2.3,2.56,2.65,2.67,2.37,43.54,45.64,49.76,45.54
2/28/2021,2.34,2.37,2.41,1.95,2.31,2.58,2.66,2.65,2.39,41.14,51.46,51.99,43.14
3/1/2021,2.27,2.6,2.61,1.96,2.32,2.61,2.76,2.67,2.61,42.79,39.13,52.6,44.79
3/2/2021,2.28,2.76,2.75,1.97,2.33,2.71,2.89,2.76,2.79,31.28,31.45,38.73,33.28
3/3/2021,2.42,2.79,2.74,1.98,2.34,2.77,2.94,2.83,2.82,40.02,41.09,42.97,42.02
3/4/2021,2.46,2.83,2.82,1.99,2.35,2.71,2.91,2.8,2.88,38.33,36.42,44.04,40.33
3/5/2021,2.48,2.78,2.74,1.99,2.36,2.65,2.85,2.74,2.82,30.95,31.12,36.86,32.95
3/6/2021,2.46,2.75,2.64,1.99,2.36,2.65,2.83,2.72,2.79,33.19,32.32,37.92,35.19
3/7/2021,2.45,2.72,2.64,1.99,2.36,2.65,2.8,2.69,2.79,32.81,32.06,35.72,34.81
3/8/2021,2.4,2.52,2.48,1.99,2.36,2.55,2.67,2.62,2.58,35.05,42.34,38.68,37.05
3/9/2021,2.26,2.29,2.28,1.99,2.36,2.44,2.55,2.56,2.3,48.28,51.56,49.79,50.28
3/10/2021,2.13,2.16,2.18,1.99,2.36,2.47,2.56,2.57,2.18,49.39,55.85,55.39,51.39
3/11/2021,2.07,2.07,2.1,1.99,2.36,2.54,2.56,2.62,2.09,57.5,60.64,62.27,59.5
3/12/2021,2.02,2.19,2.21,1.99,2.37,2.52,2.56,2.62,2.21,58.24,49.69,63.28,60.24
3/13/2021,2.01,2.34,2.34,2,2.38,2.48,2.57,2.59,2.38,44,42.01,51.55,46
3/14/2021,2.02,2.34,2.34,2.01,2.39,2.48,2.57,2.59,2.38,43.47,41.86,49.84,45.47
3/15/2021,2.09,2.35,2.33,2.02,2.4,2.48,2.57,2.56,2.37,33.75,37.11,41.6,35.75
3/16/2021,2.12,2.31,2.3,2.03,2.41,2.44,2.54,2.51,2.3,35.93,48.2,41.49,37.93
3/17/2021,2.04,2.27,2.25,2.04,2.42,2.41,2.5,2.5,2.25,44.4,51.44,49.1,46.4
3/18/2021,2.04,2.34,2.26,2.05,2.43,2.39,2.53,2.48,2.33,47.25,48.86,55.06,49.25
3/19/2021,2.06,2.34,2.14,2.05,2.44,2.35,2.55,2.46,2.22,38.99,38.01,43.27,40.99
3/20/2021,2.04,2.21,2,2.05,2.44,2.34,2.53,2.46,2.02,42.47,41.7,42.11,44.47
3/21/2021,2.04,2.08,2,2.05,2.44,2.33,2.51,2.45,2.02,46.47,48.05,45.61,48.47
3/22/2021,1.96,1.97,1.96,2.05,2.44,2.34,2.49,2.47,1.97,47.68,53.53,49.05,49.68
3/23/2021,1.86,1.9,1.96,2.05,2.44,2.36,2.48,2.48,1.97,51.8,56.51,53,53.8
3/24/2021,1.84,1.84,1.91,2.05,2.44,2.34,2.47,2.46,1.92,53.26,62.38,58.09,55.26
3/25/2021,1.81,1.79,1.81,2.05,2.44,2.36,2.48,2.46,1.77,60.35,60.26,62.92,62.35
3/26/2021,1.77,1.75,1.74,2.05,2.44,2.38,2.5,2.47,1.68,64.42,56.13,70.36,66.42
3/27/2021,1.79,1.71,1.67,2.05,2.44,2.35,2.49,2.47,1.61,57.94,56.19,61.09,59.94
3/28/2021,1.81,1.67,1.67,2.05,2.44,2.32,2.49,2.47,1.61,57.93,51.66,65.18,59.93
3/29/2021,1.8,1.79,1.77,2.05,2.44,2.31,2.5,2.49,1.77,48.1,44.93,51,50.1
3/30/2021,1.82,1.9,1.88,2.05,2.44,2.37,2.52,2.49,1.91,51.96,56.28,54.99,53.96
3/31/2021,1.93,2.14,2.14,2.05,2.44,2.47,2.59,2.47,2.15,57.89,49.48,62.73,59.89
4/1/2021,2.05,2.35,2.25,2.05,2.44,2.51,2.63,2.48,2.29,44.8,33.37,46.72,46.8
4/2/2021,2.11,2.18,2.12,2.05,2.44,2.44,2.56,2.47,2.15,36.17,33.53,38.54,38.17
4/3/2021,2.1,2.1,2.12,2.04,2.43,2.4,2.53,2.47,2.15,41.44,43.43,42.95,43.44
4/4/2021,2.1,2.1,2.12,2.03,2.42,2.4,2.53,2.47,2.15,53.01,54.77,54.05,55.01
4/5/2021,2.04,1.94,1.95,2.03,2.42,2.32,2.44,2.42,1.96,55.93,58.03,58.74,57.93
4/6/2021,1.86,1.81,1.82,2.02,2.41,2.27,2.39,2.37,1.8,58.61,63.77,61.57,60.61
4/7/2021,1.76,1.85,1.87,2.01,2.4,2.35,2.44,2.37,1.85,59.17,67.24,64.17,61.17
4/8/2021,1.79,1.82,1.83,2,2.39,2.41,2.42,2.39,1.82,57.88,66.05,62.34,59.88
4/9/2021,1.77,1.75,1.72,2,2.39,2.42,2.42,2.4,1.73,54.77,64.4,61.37,56.77
4/10/2021,1.75,1.71,1.67,2,2.39,2.4,2.43,2.41,1.67,59.76,64.85,64.87,61.76
4/11/2021,1.75,1.66,1.67,2,2.39,2.39,2.43,2.42,1.67,59.74,56.35,68.6,61.74
4/12/2021,1.7,1.74,1.74,2,2.39,2.43,2.47,2.43,1.76,50.78,54.4,60.98,52.78
