Date,PJM: Tie-Flows MISO imports 5Min(7732)-MW,PJM: InterTieFlow-NYIS(6096)-MW
1/24/2022 10:00,2550.25,-1830.42
1/24/2022 11:00,2717.42,-1652
1/24/2022 12:00,2973.67,-2194.83
1/24/2022 13:00,2715,-2312.5
1/24/2022 14:00,2895.92,-2398
1/24/2022 15:00,2763.92,-2082.75
1/24/2022 16:00,2327.58,-2026.67
1/24/2022 17:00,2459.75,-2198.58
1/24/2022 18:00,2477,-2002.08
1/24/2022 19:00,2388.42,-2065.92
1/24/2022 20:00,2582,-1889.42
1/24/2022 21:00,2931.42,-1720
1/24/2022 22:00,3144.08,-1684.75
1/24/2022 23:00,2920.5,-1934
1/25/2022 0:00,3523.58,-1966.33
1/25/2022 1:00,3890.42,-2013.42
1/25/2022 2:00,3899,-2033.58
1/25/2022 3:00,3777,-2230.42
1/25/2022 4:00,3790.83,-2161.67
1/25/2022 5:00,3664.83,-2310.17
1/25/2022 6:00,3429.92,-2215.58
1/25/2022 7:00,3400.92,-2312.83
1/25/2022 8:00,3006.42,-2100.17
1/25/2022 9:00,3741.67,-2338.08
1/25/2022 10:00,3611.92,-2120.17
1/25/2022 11:00,3640.08,-1906.92
1/25/2022 12:00,3374,-1927.33
1/25/2022 13:00,3843.75,-2191.08
1/25/2022 14:00,3759.83,-1960.5
1/25/2022 15:00,3564.54,-2122.25
1/25/2022 16:00,3746.42,-2534.33
1/25/2022 17:00,3351.83,-2499.42
1/25/2022 18:00,3654.25,-2600.92
1/25/2022 19:00,3794.42,-2298
1/25/2022 20:00,3800.83,-2426.58
1/25/2022 21:00,3792.42,-2289.75
1/25/2022 22:00,3762.08,-2255.92
1/25/2022 23:00,3537.42,-2230.33
1/26/2022 0:00,3113.83,-1893.75
1/26/2022 1:00,2879.42,-1959.17
1/26/2022 2:00,2806.58,-1945.75
1/26/2022 3:00,2600.83,-1930.75
1/26/2022 4:00,2176.5,-2087.08
1/26/2022 5:00,1966.58,-2084.92
1/26/2022 6:00,1893.92,-2009.42
1/26/2022 7:00,1932.42,-2057.5
1/26/2022 8:00,1813.17,-2281.75
1/26/2022 9:00,1692.17,-2418.08
1/26/2022 10:00,1944.33,-2512.75
1/26/2022 11:00,2138.17,-2380.42
1/26/2022 12:00,2020,-2248.33
1/26/2022 13:00,2023.92,-2131.17
1/26/2022 14:00,1685.75,-1878.83
1/26/2022 15:00,1656.58,-1902.17
1/26/2022 16:00,1681.92,-2052.75
1/26/2022 17:00,1139.83,-2060.33
1/26/2022 18:00,1132.67,-2057.5
1/26/2022 19:00,1069.5,-1769.08
1/26/2022 20:00,1085.75,-1863.33
1/26/2022 21:00,1215.42,-1773.92
1/26/2022 22:00,1163.67,-1729.75
1/26/2022 23:00,1246,-1639
1/27/2022 0:00,1871.92,-1357
1/27/2022 1:00,2076.92,-1449.33
1/27/2022 2:00,1772.42,-1165.5
1/27/2022 3:00,1569.33,-1359.42
1/27/2022 4:00,1353.25,-1466.67
1/27/2022 5:00,1184.67,-1519.33
1/27/2022 6:00,1043.08,-1538.83
1/27/2022 7:00,745,-1436.5
1/27/2022 8:00,932.25,-1583.33
1/27/2022 9:00,1408.5,-1604.13
1/27/2022 10:00,1162.08,-1794.67
1/27/2022 11:00,1369.58,-1945.92
1/27/2022 12:00,1482,-1744.83
1/27/2022 13:00,1460.83,-1862.92
1/27/2022 14:00,1187.25,-1918.58
1/27/2022 15:00,1225.92,-1940.75
1/27/2022 16:00,1452.42,-1873.33
1/27/2022 17:00,1376.58,-1780.5
1/27/2022 18:00,1217.75,-1843.08
1/27/2022 19:00,857.92,-1979.17
1/27/2022 20:00,769.67,-1619.5
1/27/2022 21:00,804.33,-1776
1/27/2022 22:00,671.67,-1756.42
1/27/2022 23:00,938.58,-1775.17
1/28/2022 0:00,1308.58,-1957
1/28/2022 1:00,1484.17,-2061.92
1/28/2022 2:00,1995.25,-2082.67
1/28/2022 3:00,1894,-2086
1/28/2022 4:00,1842.33,-2140.5
1/28/2022 5:00,1408.42,-1792
1/28/2022 6:00,1061.25,-1961
1/28/2022 7:00,1251.75,-2087
1/28/2022 8:00,1411.33,-1933.42
1/28/2022 9:00,1764.92,-2092.83
1/28/2022 10:00,1857.92,-2249.83
1/28/2022 11:00,2082.83,-2240.42
1/28/2022 12:00,1712.75,-2352.08
1/28/2022 13:00,1798.33,-2405.67
1/28/2022 14:00,1446,-2446.75
1/28/2022 15:00,1153.42,-2340.83
1/28/2022 16:00,1109.67,-2439.08
1/28/2022 17:00,1018.33,-2408.58
