Date,NatGas - Transco Z6 Non-NY
2020-01-01,1.98
2020-01-02,1.91
2020-01-03,1.93
2020-01-04,2.05
2020-01-05,2.05
2020-01-06,2.14
2020-01-07,2.2
2020-01-08,2.14
2020-01-09,1.98
2020-01-10,1.73
2020-01-11,1.63
2020-01-12,1.63
2020-01-13,1.81
2020-01-14,2.04
2020-01-15,2.09
2020-01-16,2.31
2020-01-17,2.94
2020-01-18,3.43
2020-01-19,3.43
2020-01-20,3.43
2020-01-21,2.89
2020-01-22,2.13
2020-01-23,1.9
2020-01-24,1.8
2020-01-25,1.81
2020-01-26,1.81
2020-01-27,1.89
2020-01-28,2.01
2020-01-29,1.98
2020-01-30,1.89
2020-01-31,1.81
2020-02-01,1.74
2020-02-02,1.74
2020-02-03,1.71
2020-02-04,1.71
2020-02-05,1.72
2020-02-06,1.75
2020-02-07,1.82
2020-02-08,1.81
2020-02-09,1.81
2020-02-10,1.78
2020-02-11,1.76
2020-02-12,1.8
2020-02-13,2.11
2020-02-14,2.15
2020-02-15,1.81
2020-02-16,1.81
2020-02-17,1.81
2020-02-18,1.91
2020-02-19,2.15
2020-02-20,2.24
2020-02-21,2.05
2020-02-22,1.9
2020-02-23,1.9
2020-02-24,1.8
2020-02-25,1.71
2020-02-26,1.81
2020-02-27,1.83
2020-02-28,1.7
2020-02-29,1.65
2020-03-01,1.65
2020-03-02,1.6
2020-03-03,1.58
2020-03-04,1.63
2020-03-05,1.65
2020-03-06,1.6
2020-03-07,1.52
2020-03-08,1.52
2020-03-09,1.49
2020-03-10,1.52
2020-03-11,1.63
2020-03-12,1.59
2020-03-13,1.57
2020-03-14,1.66
2020-03-15,1.66
2020-03-16,1.56
2020-03-17,1.45
2020-03-18,1.4
2020-03-19,1.29
2020-03-20,1.38
2020-03-21,1.51
2020-03-22,1.51
2020-03-23,1.48
2020-03-24,1.52
2020-03-25,1.5
2020-03-26,1.34
2020-03-27,1.21
2020-03-28,1.13
2020-03-29,1.13
2020-03-30,1.28
2020-03-31,1.51
2020-04-01,1.48
2020-04-02,1.36
2020-04-03,1.32
2020-04-04,1.3
2020-04-05,1.3
2020-04-06,1.35
2020-04-07,1.43
2020-04-08,1.47
2020-04-09,1.4
2020-04-10,1.31
2020-04-11,1.31
2020-04-12,1.31
2020-04-13,1.4
2020-04-14,1.54
2020-04-15,1.56
2020-04-16,1.49
2020-04-17,1.47
2020-04-18,1.52
2020-04-19,1.52
2020-04-20,1.59
2020-04-21,1.73
2020-04-22,1.79
2020-04-23,1.78
2020-04-24,1.71
2020-04-25,1.64
2020-04-26,1.64
2020-04-27,1.59
2020-04-28,1.6
2020-04-29,1.6
2020-04-30,1.48
2020-05-01,1.36
2020-05-02,1.3
2020-05-03,1.3
2020-05-04,1.46
2020-05-05,1.63
2020-05-06,1.53
2020-05-07,1.51
2020-05-08,1.48
2020-05-09,1.37
2020-05-10,1.37
2020-05-11,1.42
2020-05-12,1.43
2020-05-13,1.31
2020-05-14,1.13
2020-05-15,1.1
2020-05-16,1.18
2020-05-17,1.18
2020-05-18,1.39
2020-05-19,1.54
2020-05-20,1.45
2020-05-21,1.35
2020-05-22,1.28
2020-05-23,1.29
2020-05-24,1.29
2020-05-25,1.29
2020-05-26,1.37
2020-05-27,1.47
2020-05-28,1.41
2020-05-29,1.29
2020-05-30,1.25
2020-05-31,1.25
