,TimeLabel
0,Monday0
1,Monday1
2,Monday2
3,Monday3
4,Monday4
5,Monday5
6,Monday6
7,Monday7
8,Monday8
9,Monday9
10,Monday10
11,Monday11
12,Monday12
13,Monday13
14,Monday14
15,Monday15
16,Monday16
17,Monday17
18,Monday18
19,Monday19
20,Monday20
21,Monday21
22,Monday22
23,Monday23
24,Tuesday0
25,Tuesday1
26,Tuesday2
27,Tuesday3
28,Tuesday4
29,Tuesday5
30,Tuesday6
31,Tuesday7
32,Tuesday8
33,Tuesday9
34,Tuesday10
35,Tuesday11
36,Tuesday12
37,Tuesday13
38,Tuesday14
39,Tuesday15
40,Tuesday16
41,Tuesday17
42,Tuesday18
43,Tuesday19
44,Tuesday20
45,Tuesday21
46,Tuesday22
47,Tuesday23
48,Wednesday0
49,Wednesday1
50,Wednesday2
51,Wednesday3
52,Wednesday4
53,Wednesday5
54,Wednesday6
55,Wednesday7
56,Wednesday8
57,Wednesday9
58,Wednesday10
59,Wednesday11
60,Wednesday12
61,Wednesday13
62,Wednesday14
63,Wednesday15
64,Wednesday16
65,Wednesday17
66,Wednesday18
67,Wednesday19
68,Wednesday20
69,Wednesday21
70,Wednesday22
71,Wednesday23
72,Thursday0
73,Thursday1
74,Thursday2
75,Thursday3
76,Thursday4
77,Thursday5
78,Thursday6
79,Thursday7
80,Thursday8
81,Thursday9
82,Thursday10
83,Thursday11
84,Thursday12
85,Thursday13
86,Thursday14
87,Thursday15
88,Thursday16
89,Thursday17
90,Thursday18
91,Thursday19
92,Thursday20
93,Thursday21
94,Thursday22
95,Thursday23
96,Friday0
97,Friday1
98,Friday2
99,Friday3
100,Friday4
101,Friday5
102,Friday6
103,Friday7
104,Friday8
105,Friday9
106,Friday10
107,Friday11
108,Friday12
109,Friday13
110,Friday14
111,Friday15
112,Friday16
113,Friday17
114,Friday18
115,Friday19
116,Friday20
117,Friday21
118,Friday22
119,Friday23
120,Saturday0
121,Saturday1
122,Saturday2
123,Saturday3
124,Saturday4
125,Saturday5
126,Saturday6
127,Saturday7
128,Saturday8
129,Saturday9
130,Saturday10
131,Saturday11
132,Saturday12
133,Saturday13
134,Saturday14
135,Saturday15
136,Saturday16
137,Saturday17
138,Saturday18
139,Saturday19
140,Saturday20
141,Saturday21
142,Saturday22
143,Saturday23
144,Sunday0
145,Sunday1
146,Sunday1
147,Sunday2
148,Sunday3
149,Sunday4
150,Sunday5
151,Sunday6
152,Sunday7
153,Sunday8
154,Sunday9
155,Sunday10
156,Sunday11
157,Sunday12
158,Sunday13
159,Sunday14
160,Sunday15
161,Sunday16
